Pais,Sede,Red_social,URL
REPÚBLICA  FEDERATIVA  DEL  BRASIL,EBRAS,Instagram,https://www.instagram.com/embaargenbrasil
REPÚBLICA  FEDERATIVA  DEL  BRASIL,EBRAS,Twitter,https://twitter.com/ArgentinaEnBras
REPÚBLICA  FRANCESA,EFRAN,Facebook,https://www.facebook.com/ArgentinaEnFrancia/
REPÚBLICA  FRANCESA,EUNES,Facebook,https://www.facebook.com/delegation.argentine/
REPÚBLICA  FRANCESA,EUNES,Twitter,https://twitter.com/ArgentinaUNESCO
REPÚBLICA  HELÉNICA,EGREC,Facebook,https://www.facebook.com/ArgentinaEnGrecia
REPÚBLICA  HELÉNICA,EGREC,Youtube,https://www.youtube.com/channel/UCFaKsErEs33zEdzJbnrzOog/featured
REPÚBLICA  ISLÁMICA  DE  PAKISTÁN,EPAKI,Twitter,https://twitter.com/EmbajadadeArge1
REPÚBLICA  ITALIANA,CMILA,Facebook,https://www.facebook.com/ConsuladoArgentinoenMilan
REPÚBLICA  ITALIANA,CMILA,Instagram,https://www.instagram.com/consuladoargentinoenmilan/
REPÚBLICA  ITALIANA,CMILA,Youtube,https://www.youtube.com/channel/UCZdYeN4gttYEyX15xxkUNWQ
REPÚBLICA  ITALIANA,EITAL,Facebook,https://es-la.facebook.com/emb.roma/
REPÚBLICA  ITALIANA,EITAL,Instagram,https://www.instagram.com/arginitalia/?hl=es
REPÚBLICA  ITALIANA,EITAL,Twitter,https://twitter.com/arginitalia?lang=es
REPÚBLICA  LIBANESA,ELBNO,Facebook,https://www.facebook.com/ArgentinaEnLibano
REPÚBLICA  ORIENTAL  DEL  URUGUAY,CCOLO,Facebook,https://www.facebook.com/ArgentinaenColonia
REPÚBLICA  ORIENTAL  DEL  URUGUAY,CMALD,Facebook,https://www.facebook.com/pg/ConsuladoArgentinoenMaldonado/posts/?ref=page_internal
REPÚBLICA  ORIENTAL  DEL  URUGUAY,CMALD,Instagram,https://www.instagram.com/consulado_argentino/
REPÚBLICA  ORIENTAL  DEL  URUGUAY,CMDEO,Facebook,https://www.facebook.com/ArgentinaEnMontevideo/
REPÚBLICA  ORIENTAL  DEL  URUGUAY,EURUG,Facebook,https://www.facebook.com/ArgentinaEnUru/
REPÚBLICA  ORIENTAL  DEL  URUGUAY,EURUG,Instagram,https://www.instagram.com/argentinaenuru/
REPÚBLICA  ORIENTAL  DEL  URUGUAY,EURUG,Twitter,https://twitter.com/ArgentinaEnUru
REPÚBLICA  SOCIALISTA  DE  VIETNAM,EVIET,Facebook,https://www.facebook.com/ArgentinaEnVietnam/
REPÚBLICA  SOCIALISTA  DE  VIETNAM,EVIET,Instagram,https://www.instagram.com/argenvietnam/
REPÚBLICA  TUNECINA,ETUNE,Facebook,https://www.facebook.com/ArgEnTunez/
REPÚBLICA  TUNECINA,ETUNE,Instagram,https://www.instagram.com/embargentinatn
REPÚBLICA  TUNECINA,ETUNE,Twitter,https://www.twitter.com/EmbajadaTunez
REPÚBLICA  TUNECINA,ETUNE,Youtube,https://www.youtube.com/channel/UC8kSZug1SPHrp3r1hGzhjtg
REPÚBLICA  ÁRABE  DE  EGIPTO,EEGIP,Facebook,facebook.com/ArgentinaenEgipto
REPÚBLICA  ÁRABE  DE  EGIPTO,EEGIP,Instagram,instagram.com/argenegipto/
REPÚBLICA  ÁRABE  DE  EGIPTO,EEGIP,Twitter,twitter.com/ARGenEgipto
REPÚBLICA  ÁRABE  SIRIA,EASIR,Facebook,https://www.facebook.com/Embajada-Argentina-en-Siria-112176794025495
RUMANIA,ERUMA,Facebook,https://www.facebook.com/ArgentinaEnRumania
RUMANIA,ERUMA,Instagram,https://www.instagram.com/argentinaenrumania
Reino  de  Bélgica,EBELG,Facebook,https://www.facebook.com/ArgentinaEnBelgica/
Reino  de  Bélgica,EBELG,Instagram,https://www.instagram.com/argenbelgica/
Reino  de  Bélgica,ECEUR,Facebook,https://www.facebook.com/ARGanteUE
Reino  de  Bélgica,ECEUR,Flickr,https://www.flickr.com/people/197084220@N02/
Reino  de  Bélgica,ECEUR,Linkedin,https://www.linkedin.com/company/arganteue
Reino  de  Bélgica,ECEUR,Twitter,https://twitter.com/ARGanteUE
Reino  de  Bélgica,ECEUR,Youtube,https://www.youtube.com/@ARGanteUE
SANTA  SEDE,ESSED,Facebook,https://www.facebook.com/ArgEnSantaSede
SANTA  SEDE,ESSED,Instagram,https://www.instagram.com/argensantasede/
SANTA  SEDE,ESSED,Twitter,https://twitter.com/ArgSantaSede
SANTA  SEDE,ESSED,Youtube,https://www.youtube.com/c/EmbajadaArgentinaantelaSantaSede
UCRANIA,EUCRA,Facebook,https://www.facebook.com/ArgentinaEnUcrania
UCRANIA,EUCRA,Instagram,https://www.instagram.com/argenucrania/
日本国  (JAPÓN),EJAPO,Facebook,https://www.facebook.com/ArgJapon/?ref=bookmarks
