id_sede,nom_seccion
EAZER,Sección  Consular
ELBIA,Sección  Consular
ELBNO,Sección  Consular
EMARR,Sección  Consular
ENICA,SECCION  CONSULAR
ECUBA,Sección  Consular
CMILA,Sección  Consular  -  Cónsul  Adjunto  Agustín  Busignani  
CBARC,Sección  Consular  (Asistencia  al  ciudadano/Visas)
CMIAM,Sección  Consular  (Documentación)
CBARC,Sección  Consular  (Documentación/Asuntos  previsionales)
ECHIN,Sección  Consular  (Ir  a  Consulados)
CMIAM,Sección  Consular  (Notariales)
CBARC,Sección  Consular  (Opción  de  Nacionalidad/Notariales/Itinerancias)
CMIAM,Sección  Consular  (Trámites  generales)
CMIAM,Sección  Consular  (Visas  y  Asistencia  a  Argentinos)
EPOLO,Sección  Consular  de  la  Embajada  de  la  República  Argentina  en  la  República  de  Polonia
ENIGE,Sección  Consular  Embajada  Argentina  en  Nigeria
CMILA,Sección  Consular:  Cónsul  Adjunto  Lara  Fazzolari
EANGO,Sección  Cooperación
ECUBA,Sección  Cooperación
EBARB,Sección  Cooperación  Internacional
EFRAN,Sección  Cooperación  Internacional
EALEM,Sección  Cooperación  Internacional
ESSED,Sección  Cultura
EESPA,"Sección  Cultura, Educación  y  Protocolo"
CBARC,"Sección  Cultura, Educación  y  Redes  Sociales"
CTORO,SECCION  CULTURAL
CSCRS,Seccion  Cultural
EMEXI,Sección  Cultural
ECANA,Sección  Cultural
CRIOJ,Sección  Cultural
EALEM,Sección  Cultural
EETIO,Sección  Cultural
ENORU,Sección  Cultural
EECUA,Sección  Cultural
EAUST,Seccion  Cultural
EARGE,Sección  Cultural
EISIA,Sección  Cultural
EKUWA,Sección  Cultural
EIRLA,Sección  Cultural
EVENE,Sección  Cultural
EEGIP,Sección  Cultural
EDINA,Sección  Cultural
EUNGR,Sección  Cultural
EHAIT,Sección  Cultural
EMOZA,Sección  Cultural
ECHES,Sección  Cultural
EURUG,Sección  Cultural
ETURQ,Sección  Cultural
ECUBA,Sección  Cultural
EJAMA,Sección  Cultural
CVIGO,Sección  Cultural
CFRAN,Sección  Cultural
CRECI,Sección  Cultural  
EJAPO,Sección  Cultural  
ERUNI,Sección  Cultural
CMIAM,Sección  Cultural
ELBNO,Sección  Cultural
EBRAS,Sección  Cultural
EPOLO,Sección  Cultural
EHILE,Sección  Cultural
CSHAN,Sección  Cultural  
EGREC,Sección  Cultural
EBELG,Sección  Cultural
ESURI,Sección  Cultural
EFRAN,Sección  Cultural
ETRIA,Sección  Cultural
ESUIZ,Sección  Cultural
EAZER,Sección  Cultural
ETAIL,Sección  Cultural
EMARR,Sección  Cultural
EUCRA,Sección  Cultural
EEEUU,Sección  Cultural  y  de  Diplomacia  Pública
ESUEC,Sección  Cultural  y  de  Prensa
EBARB,Sección  Cultural  y  Prensa
EANGO,Sección  Cultural  y  Prensa
EPERU,"Sección  Cultural, Educación  y  Prensa"
ECORE,"Sección  Cultural, Educación  y  Turismo"
ESERB,"Sección  Cultural, Educación  y  Turismo"
EITAL,"Sección  Cultural, Educación, Ciencia  y  Tecnología  "
ECOLO,"Sección  Cultural, Educativa  y  Cooperación  Judicial"
ESAFR,"Sección  Cultural, Prensa  y  Diplomacia  Pública"
EBOLV,"Sección  Cultural, Prensa, Educación, Derechos  Humanos  y  de  Cooperación  Técnica"
ETRIA,Sección  de  Administración
CGMUM,Sección  de  Administración
ECORE,Sección  de  Administración  
EAZER,Sección  de  Administración
EMOZA,Sección  de  Administración  y  Finanzas
EITAL,Sección  de  Cooperación  Internacional
EMOZA,Sección  de  Cooperación  Internacional  y  Ayuda  Humanitaria
EPERU,Sección  de  Cooperación  Judicial  y  Asuntos  de  Género
ETRIA,Sección  de  Cooperación  Jurídica
EFRUS,"Sección  de  Cultura, Turismo  y  Cooperación  Deportiva"
